time_range,city,outdoor_temperature,outdoor_humidity,outdoor_wind_speed,outdoor_pm2_5,outdoor_pm10,outdoor_co,outdoor_no2,outdoor_o3,indoor_humidity,indoor_temperature
"2024-11-26 [21:15, 21:30)",London,4.3,93,4.3,40.7,56.055,654.9,160.395,0.0,35,22
"2024-11-26 [21:30, 21:45)",London,7.2,81,4.3,40.7,56.055,654.9,160.395,0.0,35,23
"2024-11-26 [21:45, 22:00)",London,4.3,93,4.3,40.7,56.055,654.9,160.395,0.0,35,23
"2024-11-26 [22:00, 22:15)",London,4.3,93,5.0,33.67,46.435,653.05,146.335,0.0,35,23
"2024-11-26 [22:15, 22:30)",London,5.3,93,5.0,33.67,46.435,653.05,146.335,0.0,35,23
"2024-11-26 [22:30, 22:45)",London,5.3,93,5.0,33.67,46.435,653.05,146.335,0.0,36,23
"2024-11-26 [22:45, 23:00)",London,5.4,93,5.0,33.67,46.435,653.05,146.335,0.0,36,23
"2024-11-26 [23:15, 23:30)",London,7.0,87,7.2,30.895,45.325,580.9,125.06,1.0,36,23
"2024-11-26 [23:30, 23:45)",London,6.3,87,7.9,30.895,45.325,580.9,125.06,1.0,36,23
"2024-11-26 [23:45, 00:00)",London,6.3,93,7.9,30.895,45.325,580.9,125.06,1.0,36,23
"2024-11-27 [00:00, 00:15)",London,6.1,93,10.8,23.31,32.19,401.45,89.17,14.0,36,23
"2024-11-27 [00:15, 00:30)",London,7.1,87,10.8,23.31,32.19,401.45,89.17,14.0,36,23
"2024-11-27 [00:30, 00:45)",London,7.4,87,10.8,23.31,32.19,401.45,89.17,14.0,36,23
"2024-11-27 [00:45, 01:00)",London,7.4,87,10.8,23.31,32.19,401.45,89.17,14.0,36,23
"2024-11-27 [01:00, 01:15)",London,7.2,87,10.8,23.31,32.19,401.45,89.17,14.0,36,23
"2024-11-27 [01:15, 01:30)",London,6.3,93,10.8,23.31,32.19,401.45,89.17,14.0,36,23
